datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
9/28/2020 14:00,9/28/2020 10:00,MIDATL,419.266
9/28/2020 14:00,9/28/2020 10:00,SOUTH,900.619
9/28/2020 14:00,9/28/2020 10:00,WEST,65.191
9/28/2020 14:00,9/28/2020 10:00,RTO,1385.076
9/28/2020 14:00,9/28/2020 10:00,RFC,484.457
9/28/2020 14:00,9/28/2020 10:00,OTHER,0
9/28/2020 13:00,9/28/2020 9:00,MIDATL,319.884
9/28/2020 13:00,9/28/2020 9:00,SOUTH,859.785
9/28/2020 13:00,9/28/2020 9:00,WEST,34.681
9/28/2020 13:00,9/28/2020 9:00,RTO,1214.35
9/28/2020 13:00,9/28/2020 9:00,RFC,354.565
9/28/2020 13:00,9/28/2020 9:00,OTHER,0
9/28/2020 12:00,9/28/2020 8:00,MIDATL,99.9
9/28/2020 12:00,9/28/2020 8:00,SOUTH,494.814
9/28/2020 12:00,9/28/2020 8:00,WEST,18.69
9/28/2020 12:00,9/28/2020 8:00,RTO,613.404
9/28/2020 12:00,9/28/2020 8:00,RFC,118.59
9/28/2020 12:00,9/28/2020 8:00,OTHER,0
9/28/2020 11:00,9/28/2020 7:00,MIDATL,16.362
9/28/2020 11:00,9/28/2020 7:00,SOUTH,59.554
9/28/2020 11:00,9/28/2020 7:00,WEST,1.784
9/28/2020 11:00,9/28/2020 7:00,RTO,77.7
9/28/2020 11:00,9/28/2020 7:00,RFC,18.146
9/28/2020 11:00,9/28/2020 7:00,OTHER,0
9/28/2020 10:00,9/28/2020 6:00,MIDATL,-1.153
9/28/2020 10:00,9/28/2020 6:00,SOUTH,-1.402
9/28/2020 10:00,9/28/2020 6:00,WEST,-0.241
9/28/2020 10:00,9/28/2020 6:00,RTO,-2.796
9/28/2020 10:00,9/28/2020 6:00,RFC,-1.394
9/28/2020 10:00,9/28/2020 6:00,OTHER,0
9/28/2020 9:00,9/28/2020 5:00,MIDATL,-1.104
9/28/2020 9:00,9/28/2020 5:00,SOUTH,-1.898
9/28/2020 9:00,9/28/2020 5:00,WEST,-0.218
9/28/2020 9:00,9/28/2020 5:00,RTO,-3.22
9/28/2020 9:00,9/28/2020 5:00,RFC,-1.322
9/28/2020 9:00,9/28/2020 5:00,OTHER,0
9/28/2020 8:00,9/28/2020 4:00,MIDATL,-1.116
9/28/2020 8:00,9/28/2020 4:00,SOUTH,-1.832
9/28/2020 8:00,9/28/2020 4:00,WEST,-0.227
9/28/2020 8:00,9/28/2020 4:00,RTO,-3.175
9/28/2020 8:00,9/28/2020 4:00,RFC,-1.343
9/28/2020 8:00,9/28/2020 4:00,OTHER,0
9/28/2020 7:00,9/28/2020 3:00,MIDATL,-1.132
9/28/2020 7:00,9/28/2020 3:00,SOUTH,-1.95
9/28/2020 7:00,9/28/2020 3:00,WEST,-0.226
9/28/2020 7:00,9/28/2020 3:00,RTO,-3.308
9/28/2020 7:00,9/28/2020 3:00,RFC,-1.358
9/28/2020 7:00,9/28/2020 3:00,OTHER,0
9/28/2020 6:00,9/28/2020 2:00,MIDATL,-1.13
9/28/2020 6:00,9/28/2020 2:00,SOUTH,-2.014
9/28/2020 6:00,9/28/2020 2:00,WEST,-0.235
9/28/2020 6:00,9/28/2020 2:00,RTO,-3.379
9/28/2020 6:00,9/28/2020 2:00,RFC,-1.365
9/28/2020 6:00,9/28/2020 2:00,OTHER,0
